,island,sent_number,token,critical,surprisal
5,0,6,勢,0,5.136941432952880
6,0,6,の,0,0.968498945236206
7,0,6,記者,0,11.98981761932370
8,0,6,に,0,2.7060837745666500
9,0,6,取材,0,6.3904571533203100
10,0,6,された,0,3.412781000137330
11,0,6,の,0,7.264432907104490
12,0,6,で,0,3.480600118637090
13,0,6,、,0,0.44881829619407700
14,0,6,女優,1,10.625693321228000
15,0,6,は,1,3.962348222732540
16,0,6,自信,1,11.470425605773900
17,0,6,を付けた,1,9.057455062866210
18,0,6,。,1,1.3436936140060400
0,0,7,作った,0,0.0
1,0,7,日本,0,10.053604125976600
2,0,7,酒,0,7.072295188903810
3,0,7,が,0,5.377971649169920
4,0,7,先,0,11.009125709533700
5,0,7,月,0,11.661147117614700
6,0,7,ガイド,0,19.829761505127000
7,0,7,ブック,0,3.781437635421750
8,0,7,で,0,2.6556832790374800
9,0,7,特集,0,9.552085876464840
10,0,7,された,0,2.21518611907959
11,0,7,の,0,4.70344877243042
12,0,7,で,0,3.805124282836910
13,0,7,、,0,0.6274202466011050
14,0,7,外国人,1,10.715296745300300
15,0,7,は,1,6.370145320892330
16,0,7,周り,1,14.70619010925290
17,0,7,に,1,2.3989474773407000
18,0,7,認められた,1,15.98369026184080
19,0,7,。,1,3.39951229095459
0,0,8,受けた,0,0.0
1,0,8,難,0,13.026372909545900
2,0,8,病,0,4.0829548835754400
3,0,8,の,0,2.9903793334960900
4,0,8,診断,0,6.970238208770750
5,0,8,が,0,4.608153820037840
6,0,8,今,0,11.20857048034670
7,0,8,朝,0,9.56806755065918
8,0,8,社内,0,12.705772399902300
9,0,8,で,0,1.651435136795040
10,0,8,公表された,0,7.983880996704100
11,0,8,の,0,2.8256819248199500
12,0,8,で,0,4.778379917144780
13,0,8,、,0,0.4842866361141210
14,0,8,重,1,8.69762134552002
15,0,8,役,1,9.208191871643070
16,0,8,は,1,2.4914259910583500
17,0,8,引き,1,12.88492488861080
18,0,8,継ぎ,1,4.029301643371580
19,0,8,を始めた,1,11.629623413085900
20,0,8,。,1,0.3694077134132390
0,0,9,エッ,0,0.0
1,0,9,セー,0,9.858331680297850
2,0,9,を書いた,0,15.785022735595700
3,0,9,ことが,0,7.904378414154050
4,0,9,作家,0,10.088778495788600
5,0,9,に,0,5.301970481872560
6,0,9,称賛,0,9.97095775604248
7,0,9,された,0,1.030176043510440
8,0,9,女性,1,15.790800094604500
9,0,9,議員,1,11.91558837890630
10,0,9,は,1,5.607524394989010
11,0,9,感謝,1,15.36424446105960
12,0,9,を述べた,1,7.138327121734620
13,0,9,。,1,0.2595149278640750
0,0,10,論文,0,0.0
1,0,10,を書いた,0,12.399621963501000
2,0,10,ことが,0,9.132094383239750
3,0,10,世界中の,0,17.6188907623291
4,0,10,学者,0,6.720409393310550
5,0,10,から,0,2.5440266132354700
6,0,10,注目された,0,3.1473910808563200
7,0,10,教授,1,19.869340896606400
8,0,10,は,1,5.721343994140630
9,0,10,多忙,1,15.888274192810100
10,0,10,を極め,1,1.4435769319534300
11,0,10,た,1,2.44393253326416
12,0,10,。,1,0.23609641194343600
0,0,11,絵画,0,0.0
1,0,11,を購入した,0,14.836207389831500
2,0,11,ことが,0,7.697659492492680
3,0,11,先,0,13.25835132598880
4,0,11,日,0,12.755895614624000
5,0,11,公表された,0,8.46066951751709
6,0,11,美術館,1,19.355941772460900
7,0,11,長は,1,9.678506851196290
8,0,11,展示,1,12.555273056030300
9,0,11,会,1,3.080165147781370
10,0,11,を計画した,1,11.165457725524900
11,0,11,。,1,1.197989821434020
0,0,12,芝居,0,0.0
1,0,12,を演じた,0,11.734766960144000
2,0,12,ことが,0,7.017323970794680
3,0,12,連,0,15.833216667175300
4,0,12,日,0,0.6235719323158260
5,0,12,マスコミ,0,4.16538667678833
6,0,12,に,0,1.1266212463378900
7,0,12,報道された,0,3.812504529953000
8,0,12,役者,1,23.46989631652830
9,0,12,は,1,3.2142608165741000
10,0,12,海外,1,13.702350616455100
11,0,12,に招待され,1,12.209094047546400
12,0,12,た,1,3.925187587738040
13,0,12,。,1,1.978217363357540
0,0,13,新,0,0.0
1,0,13,製品,0,13.030008316040000
2,0,13,を開発した,0,7.782156467437740
3,0,13,ことが,0,8.532485008239750
4,0,13,今,0,12.337821006774900
5,0,13,朝,0,11.782445907592800
6,0,13,社,0,9.049015998840330
7,0,13,外に,0,11.821837425231900
8,0,13,発表された,0,4.773861408233640
9,0,13,若手,1,21.256881713867200
10,0,13,社員,1,3.854334831237790
11,0,13,は,1,4.084951400756840
12,0,13,誇り,1,16.70645523071290
13,0,13,に,1,2.275960683822630
14,0,13,思った,1,7.460875511169430
15,0,13,。,1,1.977562427520750
0,0,14,ドレス,0,0.0
1,0,14,を,0,4.686635971069340
2,0,14,デザイン,0,7.291852951049810
3,0,14,したことが,0,10.47077465057370
4,0,14,大,0,9.25268268585205
5,0,14,勢,0,7.1606340408325200
6,0,14,の,0,0.6482232213020330
7,0,14,記者,0,10.161413192749000
8,0,14,に,0,2.3054823875427200
9,0,14,取材,0,4.512003421783450
10,0,14,された,0,3.051708221435550
11,0,14,女優,1,19.378219604492200
12,0,14,は,1,4.7330145835876500
13,0,14,自信,1,16.95930290222170
14,0,14,を付けた,1,9.891454696655270
15,0,14,。,1,1.5406287908554100
0,0,15,日本,0,0.0
1,0,15,酒,0,13.47027587890630
2,0,15,を作った,0,13.4483003616333
3,0,15,ことが,0,7.692996501922610
4,0,15,先,0,14.651402473449700
5,0,15,月,0,11.382891654968300
6,0,15,ガイド,0,20.327951431274400
7,0,15,ブック,0,2.932313919067380
8,0,15,で,0,2.5257866382598900
9,0,15,特集,0,10.944757461547900
10,0,15,された,0,1.7614586353302000
11,0,15,外国人,1,17.422466278076200
12,0,15,は,1,6.7131733894348100
13,0,15,周り,1,17.7417049407959
14,0,15,に,1,2.101914167404180
15,0,15,認められた,1,13.85040283203130
16,0,15,。,1,2.6585888862609900
0,0,16,難,0,0.0
1,0,16,病,0,10.330708503723100
2,0,16,の,0,2.809037923812870
3,0,16,診断,0,6.305214881896970
4,0,16,を受けた,0,4.222885608673100
5,0,16,ことが,0,8.610947608947750
6,0,16,今,0,13.745488166809100
7,0,16,朝,0,10.84048843383790
8,0,16,社内,0,9.988306999206540
9,0,16,で,0,1.1709390878677400
10,0,16,公表された,0,5.868721008300780
11,0,16,重,1,18.511991500854500
12,0,16,役,1,8.899730682373050
13,0,16,は,1,3.785193681716920
14,0,16,引き,1,15.079390525817900
15,0,16,継ぎ,1,3.6220357418060300
16,0,16,を始めた,1,12.796414375305200
17,0,16,。,1,0.9567298293113710
0,1,17,書いた,0,0.0
1,1,17,エッ,0,15.536590576171900
2,1,17,セー,0,1.389255166053770
3,1,17,が,0,4.5382080078125
4,1,17,作家,0,12.75168228149410
5,1,17,に,0,5.070095539093020
6,1,17,称賛,0,11.575746536254900
7,1,17,された,0,1.355974555015560
8,1,17,女性,1,14.596558570861800
9,1,17,議員,1,12.222128868103000
10,1,17,は,1,5.057722091674810
11,1,17,感謝,1,15.307524681091300
12,1,17,を述べた,1,6.671828746795650
13,1,17,。,1,0.3472040891647340
0,1,18,書いた,0,0.0
1,1,18,論文,0,12.295184135437000
2,1,18,が,0,4.376126289367680
3,1,18,世界中の,0,14.085990905761700
4,1,18,学者,0,6.677635192871090
5,1,18,から,0,2.628882884979250
6,1,18,注目された,0,4.318789958953860
7,1,18,教授,1,20.337282180786100
8,1,18,は,1,4.516765117645260
9,1,18,多忙,1,14.340954780578600
10,1,18,を極め,1,1.2887333631515500
11,1,18,た,1,2.5730297565460200
12,1,18,。,1,0.23502874374389600
0,1,19,購入した,0,0.0
1,1,19,絵画,0,12.651392936706500
2,1,19,が,0,3.4724810123443600
3,1,19,先,0,13.761999130249000
4,1,19,日,0,10.83268928527830
5,1,19,公表された,0,10.388941764831500
6,1,19,美術館,1,14.082048416137700
7,1,19,長は,1,11.94167709350590
8,1,19,展示,1,11.242436408996600
9,1,19,会,1,3.2390635013580300
10,1,19,を計画した,1,12.085613250732400
11,1,19,。,1,1.1934770345687900
0,1,20,演じた,0,0.0
1,1,20,芝居,0,14.536979675293000
2,1,20,が,0,4.186683654785160
3,1,20,連,0,12.162755966186500
4,1,20,日,0,1.1093857288360600
5,1,20,マスコミ,0,9.03437614440918
6,1,20,に,0,1.5004398822784400
7,1,20,報道された,0,5.321575164794920
8,1,20,役者,1,22.81293296813970
9,1,20,は,1,3.3548710346221900
10,1,20,海外,1,13.480514526367200
11,1,20,に招待され,1,11.980549812316900
12,1,20,た,1,3.9900097846984900
13,1,20,。,1,1.580033540725710
0,1,21,開発した,0,0.0
1,1,21,新,0,10.0293550491333
2,1,21,製品,0,4.73521614074707
3,1,21,が,0,4.566058158874510
4,1,21,今,0,12.471390724182100
5,1,21,朝,0,11.119489669799800
6,1,21,社,0,7.403460502624510
7,1,21,外に,0,13.84907054901120
8,1,21,発表された,0,5.458853244781490
9,1,21,若手,1,21.671098709106400
10,1,21,社員,1,4.027027606964110
11,1,21,は,1,4.322006702423100
12,1,21,誇り,1,17.486482620239300
13,1,21,に,1,2.438744306564330
14,1,21,思った,1,6.820838928222660
15,1,21,。,1,2.1439645290374800
0,1,22,デザイン,0,0.0
1,1,22,した,0,7.959830284118650
2,1,22,ドレス,0,11.25715160369870
3,1,22,が,0,4.30812406539917
4,1,22,大,0,10.015020370483400
5,1,22,勢,0,5.136941432952880
6,1,22,の,0,0.968498945236206
7,1,22,記者,0,11.98981761932370
8,1,22,に,0,2.7060837745666500
9,1,22,取材,0,6.3904571533203100
10,1,22,された,0,3.412781000137330
11,1,22,女優,1,19.886228561401400
12,1,22,は,1,5.193774223327640
13,1,22,自信,1,16.873579025268600
14,1,22,を付けた,1,9.838874816894530
15,1,22,。,1,1.3219494819641100
0,1,23,作った,0,0.0
1,1,23,日本,0,10.053604125976600
2,1,23,酒,0,7.072295188903810
3,1,23,が,0,5.377971649169920
4,1,23,先,0,11.009125709533700
5,1,23,月,0,11.661147117614700
6,1,23,ガイド,0,19.829761505127000
7,1,23,ブック,0,3.781437635421750
8,1,23,で,0,2.6556832790374800
9,1,23,特集,0,9.552085876464840
10,1,23,された,0,2.21518611907959
11,1,23,外国人,1,16.193906784057600
12,1,23,は,1,7.209611892700200
13,1,23,周り,1,17.99736213684080
14,1,23,に,1,2.1054046154022200
15,1,23,認められた,1,14.250592231750500
16,1,23,。,1,2.67360520362854
0,1,24,受けた,0,0.0
1,1,24,難,0,13.026372909545900
2,1,24,病,0,4.0829548835754400
3,1,24,の,0,2.9903793334960900
4,1,24,診断,0,6.970238208770750
5,1,24,が,0,4.608153820037840
6,1,24,今,0,11.20857048034670
7,1,24,朝,0,9.56806755065918
8,1,24,社内,0,12.705772399902300
9,1,24,で,0,1.651435136795040
10,1,24,公表された,0,7.983880996704100
11,1,24,重,1,17.74382781982420
12,1,24,役,1,12.18325138092040
13,1,24,は,1,3.4500160217285200
14,1,24,引き,1,15.056468963623000
15,1,24,継ぎ,1,3.4916646480560300
16,1,24,を始めた,1,13.274083137512200
17,1,24,。,1,1.3543426990509000
